,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
57,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,843,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,51,96*
58,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,853,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,52,98*
59,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,903,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,53,95*
60,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,913,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,54,97*
61,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,923,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,55,99*
62,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,933,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,56,101*
63,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,943,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,57,103*
64,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,953,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,58,105*
65,$,1,SECURE,SAM1.0,DT,H,8.64337E+14,TN04E1234,0,6012080,1003,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,59,93*
66,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1013,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,60,90*
